GC100m;Year;Total population in cell
3612550N4487750E;2011;5-10
3612550N4487850E;2011;5-10
3612550N4487950E;2011;20
3612550N4488050E;2011;15-20
3612550N4488150E;2011;15-20
3612550N4488250E;2011;27
3612550N4488350E;2011;34
3612550N4488650E;2011;15-20
3612550N4488750E;2011;34
3612550N4488850E;2011;35
3612550N4488950E;2011;26
3612550N4489050E;2011;5-10
3612550N4489150E;2011;46
3612550N4489250E;2011;21
3612550N4489350E;2011;5-10
3612550N4489550E;2011;1-5
3612650N4483250E;2011;1-5
3612650N4483350E;2011;15-20
3612650N4483450E;2011;25
3612650N4483550E;2011;39
3612650N4483650E;2011;30
3612650N4483750E;2011;37
3612650N4483850E;2011;15-20
3612650N4483950E;2011;1-5
3612650N4484150E;2011;22
3612650N4484250E;2011;10-15
3612650N4484750E;2011;5-10
3612650N4487050E;2011;1-5
3612650N4487150E;2011;10-15
3612650N4487750E;2011;1-5
3612650N4487850E;2011;1-5
3612650N4487950E;2011;21
3612650N4488050E;2011;20
3612650N4488150E;2011;26
3612650N4488250E;2011;10-15
3612650N4488350E;2011;39
3612650N4488450E;2011;24
3612650N4488550E;2011;15-20
3612650N4488650E;2011;39
3612650N4488750E;2011;15-20
3612650N4488850E;2011;36
3612650N4488950E;2011;27
3612650N4489050E;2011;10-15
3612650N4489150E;2011;15-20
3612650N4489250E;2011;42
3612650N4489350E;2011;30
3612650N4489450E;2011;15-20
3612650N4489550E;2011;32
3612650N4489650E;2011;5-10
3612750N4483450E;2011;10-15
3612750N4483550E;2011;30
3612750N4483650E;2011;26
3612750N4483750E;2011;32
3612750N4483850E;2011;15-20
3612750N4483950E;2011;29
3612750N4484050E;2011;31
3612750N4484150E;2011;29
3612750N4484250E;2011;40
3612750N4484350E;2011;38
3612750N4484550E;2011;5-10
3612750N4484750E;2011;10-15
3612750N4484850E;2011;1-5
3612750N4487150E;2011;10-15
3612750N4487950E;2011;28
3612750N4488050E;2011;20
3612750N4488150E;2011;24
3612750N4488250E;2011;24
3612750N4488350E;2011;28
3612750N4488450E;2011;10-15
3612750N4488550E;2011;34
3612750N4488650E;2011;49
3612750N4488750E;2011;22
3612750N4488850E;2011;29
3612750N4488950E;2011;27
3612750N4489050E;2011;25
3612750N4489150E;2011;22
3612750N4489250E;2011;28
3612750N4489350E;2011;53
3612750N4489450E;2011;39
3612750N4489550E;2011;46
3612750N4489650E;2011;40
3612850N4483450E;2011;24
3612850N4483550E;2011;23
3612850N4483650E;2011;38
3612850N4483750E;2011;26
3612850N4483850E;2011;27
3612850N4483950E;2011;33
3612850N4484050E;2011;31
3612850N4484150E;2011;32
3612850N4484250E;2011;46
3612850N4484350E;2011;10-15
3612850N4484850E;2011;1-5
3612850N4486850E;2011;1-5
3612850N4486950E;2011;10-15
3612850N4487050E;2011;15-20
3612850N4487150E;2011;5-10
3612850N4487550E;2011;5-10
3612850N4487850E;2011;1-5
3612850N4487950E;2011;10-15
3612850N4488050E;2011;5-10
3612850N4488150E;2011;5-10
3612850N4488450E;2011;5-10
3612850N4488550E;2011;26
3612850N4488650E;2011;92
3612850N4488750E;2011;46
3612850N4488850E;2011;27
3612850N4488950E;2011;37
3612850N4489050E;2011;20
3612850N4489150E;2011;23
3612850N4489250E;2011;5-10
3612850N4489350E;2011;58
3612850N4489450E;2011;57
3612850N4489550E;2011;86
3612850N4489650E;2011;83
3612950N4483450E;2011;22
3612950N4483550E;2011;23
3612950N4483650E;2011;38
3612950N4483750E;2011;28
3612950N4483850E;2011;24
3612950N4483950E;2011;28
3612950N4484050E;2011;34
3612950N4484150E;2011;30
3612950N4484250E;2011;32
3612950N4484350E;2011;5-10
3612950N4484850E;2011;1-5
3612950N4486850E;2011;1-5
3612950N4486950E;2011;10-15
3612950N4487050E;2011;15-20
3612950N4487150E;2011;29
3612950N4488450E;2011;5-10
3612950N4488550E;2011;21
3612950N4488650E;2011;24
3612950N4488750E;2011;45
3612950N4488850E;2011;32
3612950N4488950E;2011;31
3612950N4489050E;2011;30
3612950N4489150E;2011;57
3612950N4489250E;2011;5-10
3612950N4489350E;2011;15-20
3612950N4489450E;2011;52
3612950N4489550E;2011;98
3612950N4489650E;2011;70
3613050N4483450E;2011;15-20
3613050N4483550E;2011;29
3613050N4483650E;2011;23
3613050N4483750E;2011;36
3613050N4483850E;2011;20
3613050N4483950E;2011;26
3613050N4484050E;2011;33
3613050N4484150E;2011;40
3613050N4484250E;2011;30
3613050N4486650E;2011;1-5
3613050N4486750E;2011;5-10
3613050N4486850E;2011;1-5
3613050N4486950E;2011;5-10
3613050N4487050E;2011;10-15
3613050N4487150E;2011;27
3613050N4488050E;2011;1-5
3613050N4488450E;2011;10-15
3613050N4488550E;2011;29
3613050N4488650E;2011;33
3613050N4488750E;2011;42
3613050N4488850E;2011;38
3613050N4488950E;2011;42
3613050N4489050E;2011;34
3613050N4489150E;2011;25
3613050N4489250E;2011;24
3613050N4489350E;2011;15-20
3613050N4489450E;2011;44
3613050N4489550E;2011;40
3613050N4489650E;2011;39
3613150N4469550E;2011;1-5
3613150N4483450E;2011;10-15
3613150N4483550E;2011;36
3613150N4483650E;2011;29
3613150N4483750E;2011;39
3613150N4483850E;2011;28
3613150N4483950E;2011;37
3613150N4484050E;2011;32
3613150N4484150E;2011;40
3613150N4484250E;2011;10-15
3613150N4484850E;2011;1-5
3613150N4484950E;2011;5-10
3613150N4486650E;2011;5-10
3613150N4486750E;2011;10-15
3613150N4486850E;2011;5-10
3613150N4486950E;2011;5-10
3613150N4487050E;2011;5-10
3613150N4487150E;2011;15-20
3613150N4487850E;2011;30
3613150N4488450E;2011;5-10
3613150N4488550E;2011;10-15
3613150N4488750E;2011;1-5
3613150N4488850E;2011;20
3613150N4488950E;2011;22
3613150N4489050E;2011;33
3613150N4489150E;2011;22
3613150N4489250E;2011;35
3613150N4489350E;2011;108
3613150N4489450E;2011;69
3613150N4489550E;2011;83
3613150N4489650E;2011;5-10
3613250N4460350E;2011;1-5
3613250N4469550E;2011;20
3613250N4469650E;2011;15-20
3613250N4483450E;2011;10-15
3613250N4483550E;2011;26
3613250N4483650E;2011;28
3613250N4483750E;2011;32
3613250N4483850E;2011;25
3613250N4483950E;2011;28
3613250N4484050E;2011;34
3613250N4484150E;2011;47
3613250N4484250E;2011;1-5
3613250N4484950E;2011;1-5
3613250N4487050E;2011;10-15
3613250N4487150E;2011;10-15
3613250N4487250E;2011;10-15
3613250N4488450E;2011;33
3613250N4488550E;2011;15-20
3613250N4488650E;2011;22
3613250N4488750E;2011;45
3613250N4488850E;2011;35
3613250N4488950E;2011;24
3613250N4489050E;2011;39
3613250N4489150E;2011;62
3613250N4489250E;2011;73
3613250N4489350E;2011;40
3613250N4489450E;2011;23
3613250N4489550E;2011;21
3613350N4469550E;2011;48
3613350N4469650E;2011;21
3613350N4469750E;2011;15-20
3613350N4483450E;2011;15-20
3613350N4483550E;2011;41
3613350N4483650E;2011;21
3613350N4483750E;2011;21
3613350N4483850E;2011;25
3613350N4483950E;2011;33
